accountNumber,sortCode,date,targetAccountNumber,targetSortCode,amount
4670701356,32-51-21,Mon Jun 13 2022 20:33:09 GMT+0100 (British Summer Time),1636570373,29-99-99,9311
4670701356,32-51-21,Wed Sep 14 2022 23:32:48 GMT+0100 (British Summer Time),3573582158,70-23-70,9707
4670701356,32-51-21,Mon Jul 04 2022 07:49:59 GMT+0100 (British Summer Time),3860310071,17-28-28,1346
4670701356,32-51-21,Wed Aug 24 2022 12:32:13 GMT+0100 (British Summer Time),4832467014,94-28-48,5495
4670701356,32-51-21,Thu Jun 16 2022 07:38:24 GMT+0100 (British Summer Time),6923033904,57-55-75,2284
4670701356,32-51-21,Sun Oct 23 2022 23:57:10 GMT+0100 (British Summer Time),3140237781,20-43-41,271
4670701356,32-51-21,Tue Jan 03 2023 17:42:03 GMT+0000 (Greenwich Mean Time),8585122048,14-60-12,7594
4670701356,32-51-21,Thu May 05 2022 18:09:33 GMT+0100 (British Summer Time),9050469342,41-36-52,6001
4670701356,32-51-21,Mon Sep 26 2022 19:03:00 GMT+0100 (British Summer Time),6426011125,93-92-94,4278
4670701356,32-51-21,Thu Sep 08 2022 14:04:13 GMT+0100 (British Summer Time),6661253671,38-74-89,911
4670701356,32-51-21,Tue Feb 15 2022 17:17:11 GMT+0000 (Greenwich Mean Time),7941808255,95-76-27,686
4670701356,32-51-21,Wed Apr 13 2022 07:30:28 GMT+0100 (British Summer Time),1368134056,52-85-63,8105
4670701356,32-51-21,Fri Jun 10 2022 17:13:40 GMT+0100 (British Summer Time),9876243812,12-18-99,419
4670701356,32-51-21,Sun Oct 30 2022 20:29:23 GMT+0000 (Greenwich Mean Time),9739857092,18-16-73,1037
4670701356,32-51-21,Mon Nov 07 2022 16:10:35 GMT+0000 (Greenwich Mean Time),8856580155,50-99-92,3516
4670701356,32-51-21,Sun Jul 17 2022 00:59:50 GMT+0100 (British Summer Time),4919944531,93-96-50,3501
4670701356,32-51-21,Wed May 18 2022 21:10:06 GMT+0100 (British Summer Time),7879884161,35-10-92,1377
4670701356,32-51-21,Fri Jan 28 2022 00:07:38 GMT+0000 (Greenwich Mean Time),6383139748,96-67-43,6135
4670701356,32-51-21,Mon Apr 18 2022 10:53:24 GMT+0100 (British Summer Time),8026220677,88-52-71,575
4670701356,32-51-21,Mon May 23 2022 15:44:22 GMT+0100 (British Summer Time),8676232652,83-26-85,6233
4670701356,32-51-21,Fri Mar 11 2022 08:34:26 GMT+0000 (Greenwich Mean Time),8452069303,17-12-85,3015
4670701356,32-51-21,Sat Jul 02 2022 19:16:50 GMT+0100 (British Summer Time),6045639699,22-51-58,3288
4670701356,32-51-21,Fri Aug 12 2022 05:46:08 GMT+0100 (British Summer Time),5988376357,69-96-61,7288
4670701356,32-51-21,Fri May 06 2022 02:33:30 GMT+0100 (British Summer Time),1829224492,88-81-75,5635
4670701356,32-51-21,Fri Mar 04 2022 15:15:18 GMT+0000 (Greenwich Mean Time),3217968603,11-82-55,1375
4670701356,32-51-21,Thu Jul 14 2022 08:43:28 GMT+0100 (British Summer Time),4777222699,32-90-93,709
4670701356,32-51-21,Fri Feb 04 2022 20:34:14 GMT+0000 (Greenwich Mean Time),3463239216,48-58-61,4759
4670701356,32-51-21,Sun Jan 30 2022 09:15:10 GMT+0000 (Greenwich Mean Time),3604268136,81-35-81,3490
4670701356,32-51-21,Sun May 01 2022 14:27:27 GMT+0100 (British Summer Time),4453021252,20-85-40,9839
4670701356,32-51-21,Sun May 29 2022 12:00:04 GMT+0100 (British Summer Time),2490660607,86-94-85,8443
4670701356,32-51-21,Mon Nov 07 2022 00:02:21 GMT+0000 (Greenwich Mean Time),2476352591,34-66-85,3941
4670701356,32-51-21,Sun Nov 20 2022 08:21:41 GMT+0000 (Greenwich Mean Time),1273766081,79-67-75,8450
4670701356,32-51-21,Sun Feb 06 2022 01:29:33 GMT+0000 (Greenwich Mean Time),4807789118,42-14-60,4360
4670701356,32-51-21,Wed Apr 06 2022 03:18:26 GMT+0100 (British Summer Time),6827190889,99-54-80,1968
4670701356,32-51-21,Mon Apr 18 2022 00:22:52 GMT+0100 (British Summer Time),4665865574,11-66-77,1697
4670701356,32-51-21,Wed Apr 06 2022 09:20:33 GMT+0100 (British Summer Time),7990735199,75-98-35,8472
4670701356,32-51-21,Tue Aug 16 2022 07:27:18 GMT+0100 (British Summer Time),6059985741,20-42-88,6886
4670701356,32-51-21,Fri Feb 04 2022 18:22:31 GMT+0000 (Greenwich Mean Time),1471048805,45-57-36,4049
4670701356,32-51-21,Tue May 10 2022 04:26:45 GMT+0100 (British Summer Time),6583691493,61-36-72,1845
4670701356,32-51-21,Tue May 17 2022 12:48:38 GMT+0100 (British Summer Time),4558470426,17-13-94,8956
4670701356,32-51-21,Wed Jan 04 2023 02:54:34 GMT+0000 (Greenwich Mean Time),2699780705,42-41-99,2876
4670701356,32-51-21,Wed Jan 04 2023 08:16:40 GMT+0000 (Greenwich Mean Time),7989073520,89-20-39,1093
4670701356,32-51-21,Mon Apr 18 2022 03:44:46 GMT+0100 (British Summer Time),8807885778,22-60-11,2363
4670701356,32-51-21,Wed Aug 17 2022 06:15:50 GMT+0100 (British Summer Time),4811735793,61-89-77,690
4670701356,32-51-21,Sat May 07 2022 06:12:14 GMT+0100 (British Summer Time),6364189922,69-90-98,8362
4670701356,32-51-21,Fri Oct 07 2022 15:11:01 GMT+0100 (British Summer Time),4997989521,70-72-52,1922
4670701356,32-51-21,Sat Jun 18 2022 04:02:09 GMT+0100 (British Summer Time),3167591041,51-43-92,9840
4670701356,32-51-21,Tue Apr 05 2022 06:39:02 GMT+0100 (British Summer Time),3516176704,55-75-84,4574
4670701356,32-51-21,Tue Dec 06 2022 04:31:07 GMT+0000 (Greenwich Mean Time),6128470064,34-65-95,262
4670701356,32-51-21,Thu Sep 08 2022 03:52:37 GMT+0100 (British Summer Time),6290965557,97-22-29,8863
4670701356,32-51-21,Fri Jun 10 2022 01:03:29 GMT+0100 (British Summer Time),4140326718,14-57-81,9202
4670701356,32-51-21,Fri Feb 11 2022 03:57:42 GMT+0000 (Greenwich Mean Time),1835303325,81-48-23,4354
4670701356,32-51-21,Fri Feb 18 2022 16:02:05 GMT+0000 (Greenwich Mean Time),6084557363,13-76-64,6522
4670701356,32-51-21,Thu Sep 15 2022 15:15:43 GMT+0100 (British Summer Time),6838560304,92-65-85,9710
4670701356,32-51-21,Wed Aug 31 2022 00:18:03 GMT+0100 (British Summer Time),6835392009,70-50-39,9627
4670701356,32-51-21,Sat Dec 03 2022 02:32:42 GMT+0000 (Greenwich Mean Time),1217569974,44-53-30,6463
4670701356,32-51-21,Wed May 18 2022 09:30:31 GMT+0100 (British Summer Time),2787695439,45-54-45,5627
4670701356,32-51-21,Fri Feb 18 2022 22:55:39 GMT+0000 (Greenwich Mean Time),2037929965,66-80-18,6432
4670701356,32-51-21,Thu Jul 14 2022 23:53:04 GMT+0100 (British Summer Time),8668813802,29-34-46,5704
4670701356,32-51-21,Tue Mar 01 2022 13:12:25 GMT+0000 (Greenwich Mean Time),7678767169,17-94-36,9024
4670701356,32-51-21,Fri Feb 25 2022 01:24:42 GMT+0000 (Greenwich Mean Time),1076302218,65-84-97,6091
4670701356,32-51-21,Fri Aug 05 2022 19:06:18 GMT+0100 (British Summer Time),4803499821,42-37-23,1501
4670701356,32-51-21,Wed Apr 27 2022 00:34:30 GMT+0100 (British Summer Time),5453317011,19-82-40,9761
4670701356,32-51-21,Thu Jul 28 2022 03:25:53 GMT+0100 (British Summer Time),5576392759,84-66-10,8676
4670701356,32-51-21,Tue Nov 01 2022 21:36:34 GMT+0000 (Greenwich Mean Time),3180597491,11-70-10,7711
4670701356,32-51-21,Thu Feb 17 2022 18:08:34 GMT+0000 (Greenwich Mean Time),6002758578,89-77-58,9702
4670701356,32-51-21,Sun Jan 22 2023 09:30:47 GMT+0000 (Greenwich Mean Time),1945282237,39-77-69,4515
4670701356,32-51-21,Thu Jan 27 2022 23:09:13 GMT+0000 (Greenwich Mean Time),7774077433,84-40-91,8655
4670701356,32-51-21,Fri Jul 15 2022 08:22:00 GMT+0100 (British Summer Time),6726652911,89-92-93,6826
4670701356,32-51-21,Sat Oct 15 2022 06:40:06 GMT+0100 (British Summer Time),8583167004,39-74-77,2069
